hkanji	jis
徒	454C
努	4558
灯	4574
堂	4632
働	462F
毒	4647
熱	472E
念	4730
敗	4754
倍	475C
博	476E
飯	4853
飛	4874
費	4871
必	492C
筆	492E
票	493C
標	4938
不	4954
夫	4957
付	4955
府	495C
副	497B
粉	4A34
兵	4A3C
別	4A4C
辺	4A55
変	4A51
便	4A58
包	4A71
法	4B21
望	4B3E
牧	4B52
末	4B76
満	4B7E
脈	4C2E
民	4C31
約	4C73
勇	4D26
要	4D57
養	4D5C
浴	4D61
利	4D78
陸	4E26
良	4E49
料	4E41
量	4E4C
輪	4E58
類	4E60
令	4E61
冷	4E64
例	4E63
歴	4E72
連	4F22
練	4E7D
老	4F37
労	4F2B
録	4F3F
圧	3035
移	305C
因	3078
永	314A
営	3144
衛	3152
易	3057
益	3157
液	3155
演	3169
応	317E
往	317D
恩	3238
仮	323E
価	3241
果	324C
河	324F
過	3261
賀	326C
快	3277
解	3272
格	334A
確	334E
額	335B
刊	3429
幹	3434
慣	3437
歓	343F
眼	3463
基	3470
寄	3473
規	352C
技	353B
義	3541
逆	3555
久	3557
旧	356C
居	356F
許	3576
境	362D
興	363D
均	3651
禁	3658
句	3667
訓	3731
群	3732
経	3750
潔	3769
件	376F
券	3774
険	3831
検	3821
絹	3828
限	3842
現	383D
減	383A
故	384E
個	3844
護	386E
効	387A
厚	387C
耕	394C
鉱	395B
構	393D
講	3956
混	3A2E
査	3A3A
再	3A46
災	3A52
妻	3A4A
採	3A4E
際	3A5D
在	3A5F
財	3A62
罪	3A61
雑	3B28
蚕	3B3D
酸	3B40
賛	3B3F
支	3B59
志	3B56
師	3B55
資	3B71
示	3C28
似	3B77
児	3B79
識	3C31
質	3C41
舎	3C4B
謝	3C55
授	3C78
収	3C7D
修	3D24
衆	3D30
祝	3D4B
述	3D52
術	3D51
準	3D60
序	3D78
除	3D7C
招	3E37
承	3E35
称	3E4E
証	3E5A
条	3E72
状	3E75
常	3E6F
情	3E70
織	3F25
職	3F26
制	4029
性	402D
政	402F
精	403A
製	403D
税	4047
責	4055
績	4053
接	405C
設	405F
舌	4065
絶	4064
銭	412C
善	4131
祖	4144
素	4147
総	416D
造	4224
像	417C
増	417D
則	4227
測	422C
属	4230
損	423B
退	4260
貸	425F
態	4256
団	4344
断	4347
築	435B
張	4425
提	4473
程	4478
適	452C
敵	4528
統	457D
銅	463C
導	4633
特	4643
得	4640
徳	4641
独	4648
任	4724
燃	4733
能	473D
破	474B
犯	4848
判	483D
版	4847
比	4866
肥	486E
非	4873
備	4877
俵	4936
評	493E
貧	494F
布	495B
婦	4958
富	4959
武	4970
復	497C
複	4A23
仏	4A29
編	4A54
弁	4A5B
保	4A5D
墓	4A68
報	4A73
豊	4B2D
防	4B49
貿	4B47
暴	4B3D
未	4C24
務	4C33
無	4C35
迷	4C42
綿	4C4A
輸	4D22
余	4D3E
預	4D42
容	4D46
率	4E28
略	4E2C
留	4E31
領	4E4E
異	305B
遺	3064
域	3068
壱	306D
宇	3127
羽	3129
映	3147
延	3164
沿	3168
可	3244
我	3266
灰	3325
街	3339
拡	3348
革	3357
閣	3355
割	3364
株	3374
干	3433
巻	342C
看	3447
勧	342B
簡	344A
丸	345D
危	346D
机	3479
揮	3478
貴	352E
疑	353F
